TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0001882	"nucleoside binding"	-2.057737608188418	4.272769586551759	0.05104961873652589	0.7121880356439645	0.20497231	null
GO:0005525	"GTP binding"	-2.057737608188418	5.85453558017203	1.9488618978002925	0.51813637125192	0.32512277	null
GO:0032561	"guanyl ribonucleotide binding"	32561	-2.057737608188418	5.866906727002255	2.0051747570191796	0.517574415363825	0.97597655	5525
GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	-7.358176202126381	5.7713294730166	1.6090695985640397	1	0	null
GO:0019001	"guanyl nucleotide binding"	-2.057737608188418	5.867574133246042	2.008258601856671	0.6478604658230677	0.37418744	null
GO:0032549	"ribonucleoside binding"	-2.057737608188418	4.266866441221181	0.05036038486383572	0.5206418603467056	0.20473509	null
GO:0001883	"purine nucleoside binding"	1883	-2.057737608188418	1.9822712330395684	0.0002588032328283238	0.5966467204024142	0.74065249	32549
GO:0032550	"purine ribonucleoside binding"	-2.057737608188418	0.6020599913279624	0.000008172733668262857	0.6381080635312647	0.63363596	null
GO:0050660	"flavin adenine dinucleotide binding"	-7.6026801325966185	5.761721912984447	1.5738641861657194	0.6679209244873207	0	null
GO:0140359	"ABC-type transporter activity"	-2.057737608188418	5.54886092751801	0.9640638362419548	1	0	null
