FamilyID	pulicaria<1>	pulex.nam<2>	pulex.euro<3>	galeata<4>	magna<5>	sinensis<6>	carinata<7>	<8>	<9>	<10>	<11>	<12>	<13>
N0.HOG0000002	0.0290259	0.519415	0.0582041	0.153611	0.551149	0.551149	0.6848	N/A	0.526025	0.592793	0.57333	0.520605	0.638891
N0.HOG0000003	0.5	0.5	0.5	0.5	0.594588	0.0018803	0.000735452	N/A	0.550036	0.00757695	0.5	0.5	0.722915
N0.HOG0000008	2.85788e-05	0.627579	0.00102127	0.0100622	0.594588	0.142021	0.77454	N/A	0.550036	0.660615	0.630946	2.75026e-10	0.722915
N0.HOG0000009	0.5	0.5	0.5	0.5	1.92927e-06	0.293978	0.289291	N/A	0.572206	0.00132466	0.5	0.5	0.0964472
N0.HOG0000012	0.571202	0.571202	0.0582041	0.153611	0.5	0.5	0.6848	N/A	0.526025	0.592793	0.57333	4.51181e-06	0.202699
N0.HOG0000014	0.5	0.5	0.5	0.5	1.2518e-07	4.99905e-05	0.000291202	N/A	0.592693	8.29766e-05	0.5	0.5	0.276003
N0.HOG0000015	0.519415	0.519415	0.0582041	0.153611	0.142021	0.0524053	0.77454	N/A	0.550036	0.241783	0.57333	0.520605	0.722915
N0.HOG0000022	0.554946	0.0827106	0.00873428	0.153611	0.551149	0.551149	0.6848	N/A	0.526025	0.592793	0.00288908	0.558107	0.638891
N0.HOG0000024	0.519415	0.0290259	0.573618	0.677402	0.00660209	0.142021	0.77454	N/A	0.550036	0.660615	0.630946	0.0599274	0.722915
N0.HOG0000030	0.00401714	0.700346	0.273225	0.677402	0.5	0.5	0.6848	N/A	0.526025	0.0483114	7.40355e-05	6.09786e-13	0.202699
N0.HOG0000037	3.76731e-06	0.0290259	0.0582041	0.153611	0.631603	0.631603	0.289291	N/A	0.572206	0.0185167	0.57333	0.520605	0.775809
N0.HOG0000038	0.0290259	0.00979969	0.0582041	0.153611	2.4414e-07	0.199514	0.6848	N/A	0.526025	0.592793	0.57333	0.520605	0.0110207
N0.HOG0000039	0.00100916	0.639776	0.170066	0.419418	0.5	0.5	0.82243	N/A	0.572206	0.143531	8.24559e-05	0.646426	0.00545121
N0.HOG0000040	0.5	0.5	0.5	0.604445	0.103615	0.249807	0.00102316	N/A	0.592693	0.00329678	0.108542	0.5	0.810596
N0.HOG0000053	0.00393719	0.571202	0.00102127	0.0100622	0.142021	0.594588	0.77454	N/A	0.550036	0.660615	0.630946	0.00106566	0.722915
