FamilyID	pulicaria<1>	pulex.nam<2>	pulex.euro<3>	galeata<4>	magna<5>	sinensis<6>	carinata<7>	<8>	<9>	<10>	<11>	<12>	<13>
N0.HOG0000002	-1	0	-1	-1	0	0	0	0	0	0	0	0	0
N0.HOG0000003	0	0	0	0	0	-2	5	0	0	-2	0	0	0
N0.HOG0000004	0	0	-1	-1	0	-1	0	0	0	0	0	0	0
N0.HOG0000006	0	0	-1	-1	0	0	0	0	0	0	0	0	-1
N0.HOG0000008	4	0	-2	-2	0	-1	0	0	0	0	0	6	0
N0.HOG0000009	0	0	0	0	6	-1	1	0	0	-3	0	0	2
N0.HOG0000011	0	0	-1	-1	0	0	0	0	0	0	0	0	0
N0.HOG0000012	0	0	-1	-1	0	0	0	0	0	0	0	3	-1
N0.HOG0000013	0	0	0	0	0	0	0	0	0	-1	0	0	0
N0.HOG0000014	0	0	0	0	7	-4	7	0	0	-4	0	0	1
N0.HOG0000015	0	0	-1	-1	-1	1	0	0	0	-1	0	0	0
N0.HOG0000017	0	0	0	0	1	0	0	0	0	-1	0	0	0
N0.HOG0000018	0	0	0	0	1	-1	0	0	0	-1	0	0	0
N0.HOG0000021	1	0	0	0	-1	0	0	0	0	0	1	0	0
N0.HOG0000022	0	-1	2	-1	0	0	0	0	0	0	2	0	0
N0.HOG0000024	0	-1	0	0	2	-1	0	0	0	0	0	-1	0
N0.HOG0000028	0	0	0	-1	0	0	0	0	0	0	0	0	0
N0.HOG0000029	0	0	0	0	0	0	0	0	0	0	0	0	0
N0.HOG0000030	3	0	-1	0	0	0	0	0	0	1	4	9	-1
N0.HOG0000031	0	0	1	0	0	0	0	0	0	0	0	0	0
N0.HOG0000033	0	0	0	-1	0	0	0	0	0	0	0	0	0
N0.HOG0000036	0	0	0	0	0	0	0	0	0	-1	0	0	0
N0.HOG0000037	3	-1	-1	-1	0	0	1	0	0	-2	0	0	0
N0.HOG0000038	-1	1	-1	-1	6	-1	0	0	0	0	0	0	2
N0.HOG0000039	3	0	1	-1	0	0	0	0	0	1	5	0	-3
N0.HOG0000040	0	0	0	0	1	-1	6	0	0	-3	-1	0	0
N0.HOG0000042	0	0	-1	-1	0	0	0	0	0	0	0	0	0
N0.HOG0000053	2	0	-2	-2	-1	0	0	0	0	0	0	2	0
N0.HOG0000055	-1	0	-1	-1	0	0	0	0	0	0	0	0	-1
N0.HOG0000057	-1	0	-1	-1	0	-1	0	0	0	0	0	0	0
N0.HOG0000059	0	0	0	0	0	-1	0	0	0	-1	0	0	0
N0.HOG0000060	-1	0	-1	-1	0	0	0	0	0	0	0	0	-1
N0.HOG0000063	-1	1	-1	-1	0	-1	0	0	0	0	0	0	0
N0.HOG0000064	0	0	-1	0	1	0	0	0	0	0	0	0	0
N0.HOG0000065	0	0	0	1	0	-1	0	0	0	0	0	0	0
N0.HOG0000066	0	0	1	1	0	-1	0	0	0	0	0	-1	0
N0.HOG0000068	0	3	-2	0	0	0	1	0	0	0	0	1	-1
N0.HOG0000069	0	0	0	0	0	0	0	0	0	-1	0	0	0
N0.HOG0000070	-1	0	-1	0	0	0	0	0	0	0	0	0	0
N0.HOG0000071	-1	0	-1	-1	0	1	0	0	0	-1	0	0	0
N0.HOG0000072	0	1	-1	-1	0	0	0	0	0	0	0	2	0
N0.HOG0000074	0	0	-1	0	-1	0	-1	0	0	0	0	1	0
N0.HOG0000075	0	0	0	0	0	0	0	0	0	0	0	0	0
N0.HOG0000076	0	0	-1	0	0	0	0	0	0	0	0	0	0
N0.HOG0000077	0	0	-2	1	0	0	-1	0	0	0	0	1	-1
N0.HOG0000078	0	0	-1	-1	0	0	0	0	0	0	0	0	0
N0.HOG0000079	0	0	0	0	0	0	1	0	0	-5	0	0	3
N0.HOG0000082	3	-1	-1	-1	0	-1	0	0	0	0	0	0	0
N0.HOG0000085	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0
N0.HOG0000088	-1	0	-1	-1	0	0	0	0	0	0	0	0	-1
N0.HOG0000095	0	0	-1	-1	0	0	0	0	0	0	0	0	-1
N0.HOG0000097	0	0	-1	-1	0	0	0	0	0	0	0	1	-1
N0.HOG0000098	-1	0	-1	-1	-1	4	0	0	0	0	0	0	1
N0.HOG0000099	0	0	-1	0	-1	0	0	0	0	0	0	0	0
N0.HOG0000100	-1	0	0	0	3	0	0	0	0	0	0	0	0
N0.HOG0000101	0	0	-1	-1	0	0	1	0	0	0	0	0	0
N0.HOG0000102	0	0	0	-1	0	0	0	0	0	0	0	0	0
N0.HOG0000103	0	0	0	-1	0	0	0	0	0	0	1	0	0
N0.HOG0000104	0	0	-1	0	0	0	0	0	0	0	0	0	0
N0.HOG0000105	3	0	-1	-1	1	0	0	0	0	0	0	0	1
N0.HOG0000106	1	-1	0	-1	1	0	0	0	0	0	0	0	0
N0.HOG0000107	0	0	-1	-1	0	0	1	0	0	0	0	0	0
N0.HOG0000110	0	0	0	-1	0	0	0	0	0	0	0	0	0
N0.HOG0000111	0	0	-1	-1	0	0	0	0	0	0	0	0	0
N0.HOG0000114	0	-1	-1	-1	0	0	0	0	0	0	0	0	-1
N0.HOG0000115	0	0	-1	-1	0	-1	0	0	0	0	0	0	0
N0.HOG0000118	0	-1	-1	-1	0	-1	0	0	0	0	0	0	0
N0.HOG0000120	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0
N0.HOG0000122	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0
N0.HOG0000128	0	-1	-1	-1	0	0	0	0	0	0	0	0	-1
N0.HOG0000134	-1	0	-1	-1	0	0	0	0	0	0	0	0	-1
N0.HOG0000135	0	0	-1	-1	-1	1	1	0	0	-1	0	0	0
N0.HOG0000145	0	0	0	0	0	-1	0	0	0	-1	0	0	0
N0.HOG0000147	1	0	-2	0	0	0	0	0	0	1	0	1	-1
N0.HOG0000150	0	0	0	0	2	-1	2	0	0	-1	0	0	0
N0.HOG0000152	10	0	-3	-2	2	-2	1	0	0	-1	0	2	0
N0.HOG0000154	0	2	-1	-1	1	-1	0	0	0	0	0	0	0
N0.HOG0000156	0	0	0	0	0	-1	0	0	0	-1	0	0	0
N0.HOG0000159	0	0	-1	-1	0	0	0	0	0	0	0	0	-1
N0.HOG0000162	0	0	0	0	0	-1	0	0	0	-1	0	0	0
N0.HOG0000165	0	0	-1	-1	0	-1	0	0	0	0	0	0	0
N0.HOG0000166	0	0	-1	-1	0	-1	0	0	0	0	0	0	0
N0.HOG0000167	0	-1	-1	-1	0	0	0	0	0	0	0	0	-1
N0.HOG0000172	-1	0	-1	-1	0	0	0	0	0	0	0	0	-1
N0.HOG0000173	0	-1	-1	-1	0	0	0	0	0	0	0	0	-1
N0.HOG0000174	0	0	-1	-1	0	0	0	0	0	0	0	0	-1
N0.HOG0000176	1	0	0	0	0	0	0	0	0	0	0	0	0
N0.HOG0000180	0	0	0	0	0	0	0	0	0	0	0	0	0
