FamilyID	pulicaria<1>	pulex.nam<2>	pulex.euro<3>	galeata<4>	magna<5>	sinensis<6>	carinata<7>	<8>	<9>	<10>	<11>	<12>	<13>
N0.HOG0000002	0	1	0	0	1	1	1	1	1	1	1	1	1
N0.HOG0000003	0	0	0	0	2	0	7	2	2	0	0	0	2
N0.HOG0000004	1	1	0	0	1	0	1	1	1	1	1	1	1
N0.HOG0000006	1	1	0	0	0	0	1	1	1	1	1	1	0
N0.HOG0000008	12	8	0	0	2	1	2	2	2	2	2	8	2
N0.HOG0000009	0	0	0	0	11	4	4	3	3	0	0	0	5
N0.HOG0000011	1	1	0	0	1	1	1	1	1	1	1	1	1
N0.HOG0000012	4	4	0	0	0	0	1	1	1	1	1	4	0
N0.HOG0000013	0	0	0	0	1	1	1	1	1	0	0	0	1
N0.HOG0000014	0	0	0	0	12	1	11	4	4	0	0	0	5
N0.HOG0000015	1	1	0	0	1	3	2	2	2	1	1	1	2
N0.HOG0000017	0	0	0	0	2	1	1	1	1	0	0	0	1
N0.HOG0000018	0	0	0	0	2	0	1	1	1	0	0	0	1
N0.HOG0000021	3	2	2	1	0	1	1	1	1	1	2	2	1
N0.HOG0000022	3	2	5	0	1	1	1	1	1	1	3	3	1
N0.HOG0000024	1	0	2	2	4	1	2	2	2	2	2	1	2
N0.HOG0000028	1	1	1	0	1	1	1	1	1	1	1	1	1
N0.HOG0000029	1	1	1	1	1	1	1	1	1	1	1	1	1
N0.HOG0000030	18	15	5	2	0	0	1	1	1	2	6	15	0
N0.HOG0000031	1	1	2	1	1	1	1	1	1	1	1	1	1
N0.HOG0000033	1	1	1	0	1	1	1	1	1	1	1	1	1
N0.HOG0000036	0	0	0	0	1	1	1	1	1	0	0	0	1
N0.HOG0000037	4	0	0	0	3	3	4	3	3	1	1	1	3
N0.HOG0000038	0	2	0	0	9	2	1	1	1	1	1	1	3
N0.HOG0000039	12	9	10	3	0	0	3	3	3	4	9	9	0
N0.HOG0000040	0	0	0	1	5	3	10	4	4	1	0	0	4
N0.HOG0000042	1	1	0	0	1	1	1	1	1	1	1	1	1
N0.HOG0000053	6	4	0	0	1	2	2	2	2	2	2	4	2
N0.HOG0000055	0	1	0	0	0	0	1	1	1	1	1	1	0
N0.HOG0000057	0	1	0	0	1	0	1	1	1	1	1	1	1
N0.HOG0000059	0	0	0	0	1	0	1	1	1	0	0	0	1
N0.HOG0000060	0	1	0	0	0	0	1	1	1	1	1	1	0
N0.HOG0000063	0	2	0	0	1	0	1	1	1	1	1	1	1
N0.HOG0000064	1	1	0	1	2	1	1	1	1	1	1	1	1
N0.HOG0000065	1	1	1	2	1	0	1	1	1	1	1	1	1
N0.HOG0000066	0	0	2	2	1	0	1	1	1	1	1	0	1
N0.HOG0000068	3	6	0	2	1	1	3	2	2	2	2	3	1
N0.HOG0000069	0	0	0	0	1	1	1	1	1	0	0	0	1
N0.HOG0000070	0	1	0	1	1	1	1	1	1	1	1	1	1
N0.HOG0000071	0	1	0	0	2	3	2	2	2	1	1	1	2
N0.HOG0000072	3	4	0	0	1	1	1	1	1	1	1	3	1
N0.HOG0000074	3	3	1	2	1	2	1	2	2	2	2	3	2
N0.HOG0000075	1	1	1	1	1	1	1	1	1	1	1	1	1
N0.HOG0000076	1	1	0	1	1	1	1	1	1	1	1	1	1
N0.HOG0000077	3	3	0	3	1	1	1	2	2	2	2	3	1
N0.HOG0000078	1	1	0	0	1	1	1	1	1	1	1	1	1
N0.HOG0000079	0	0	0	0	8	8	6	5	5	0	0	0	8
N0.HOG0000082	4	0	0	0	1	0	1	1	1	1	1	1	1
N0.HOG0000085	0	1	0	0	0	1	1	1	1	1	1	1	1
N0.HOG0000088	0	1	0	0	0	0	1	1	1	1	1	1	0
N0.HOG0000095	1	1	0	0	0	0	1	1	1	1	1	1	0
N0.HOG0000097	2	2	0	0	0	0	1	1	1	1	1	2	0
N0.HOG0000098	0	1	0	0	1	6	1	1	1	1	1	1	2
N0.HOG0000099	1	1	0	1	0	1	1	1	1	1	1	1	1
N0.HOG0000100	0	1	1	1	4	1	1	1	1	1	1	1	1
N0.HOG0000101	1	1	0	0	1	1	2	1	1	1	1	1	1
N0.HOG0000102	1	1	1	0	1	1	1	1	1	1	1	1	1
N0.HOG0000103	2	2	2	0	1	1	1	1	1	1	2	2	1
N0.HOG0000104	1	1	0	1	1	1	1	1	1	1	1	1	1
N0.HOG0000105	4	1	0	0	3	2	1	1	1	1	1	1	2
N0.HOG0000106	2	0	1	0	2	1	1	1	1	1	1	1	1
N0.HOG0000107	1	1	0	0	1	1	2	1	1	1	1	1	1
N0.HOG0000110	1	1	1	0	1	1	1	1	1	1	1	1	1
N0.HOG0000111	1	1	0	0	1	1	1	1	1	1	1	1	1
N0.HOG0000114	1	0	0	0	0	0	1	1	1	1	1	1	0
N0.HOG0000115	1	1	0	0	1	0	1	1	1	1	1	1	1
N0.HOG0000118	1	0	0	0	1	0	1	1	1	1	1	1	1
N0.HOG0000120	1	0	0	0	0	1	1	1	1	1	1	1	1
N0.HOG0000122	0	1	0	0	0	1	1	1	1	1	1	1	1
N0.HOG0000128	1	0	0	0	0	0	1	1	1	1	1	1	0
N0.HOG0000134	0	1	0	0	0	0	1	1	1	1	1	1	0
N0.HOG0000135	1	1	0	0	1	3	3	2	2	1	1	1	2
N0.HOG0000145	0	0	0	0	1	0	1	1	1	0	0	0	1
N0.HOG0000147	4	3	0	2	0	0	1	1	1	2	2	3	0
N0.HOG0000150	0	0	0	0	3	0	3	1	1	0	0	0	1
N0.HOG0000152	15	5	0	1	6	2	5	4	4	3	3	5	4
N0.HOG0000154	1	3	0	0	2	0	1	1	1	1	1	1	1
N0.HOG0000156	0	0	0	0	1	0	1	1	1	0	0	0	1
N0.HOG0000159	1	1	0	0	0	0	1	1	1	1	1	1	0
N0.HOG0000162	0	0	0	0	1	0	1	1	1	0	0	0	1
N0.HOG0000165	1	1	0	0	1	0	1	1	1	1	1	1	1
N0.HOG0000166	1	1	0	0	1	0	1	1	1	1	1	1	1
N0.HOG0000167	1	0	0	0	0	0	1	1	1	1	1	1	0
N0.HOG0000172	0	1	0	0	0	0	1	1	1	1	1	1	0
N0.HOG0000173	1	0	0	0	0	0	1	1	1	1	1	1	0
N0.HOG0000174	1	1	0	0	0	0	1	1	1	1	1	1	0
N0.HOG0000176	2	1	1	1	1	1	1	1	1	1	1	1	1
N0.HOG0000180	1	1	1	1	1	1	1	1	1	1	1	1	1
N0.HOG0000181	1	0	0	1	1	1	1	1	1	1	1	1	1
N0.HOG0000182	1	1	1	1	1	1	1	1	1	1	1	1	1
N0.HOG0000184	0	0	0	0	1	1	1	1	1	0	0	0	1
N0.HOG0000185	1	1	0	0	0	3	1	1	1	1	1	1	1
N0.HOG0000186	1	1	0	1	1	1	1	1	1	1	1	1	1
N0.HOG0000187	1	3	3	3	0	0	1	1	1	3	3	3	0
N0.HOG0000188	5	2	3	4	4	1	7	4	4	4	3	3	3
N0.HOG0000189	5	4	2	6	7	2	26	9	8	6	4	4	6
N0.HOG0000191	10	9	1	0	2	1	2	2	2	2	3	9	2
N0.HOG0000192	0	0	0	0	8	3	2	2	2	0	0	0	4
N0.HOG0000193	7	7	2	3	1	3	7	4	4	4	4	7	3
N0.HOG0000200	0	0	0	0	1	1	1	1	1	0	0	0	1
N0.HOG0000201	0	0	0	1	2	4	6	3	3	1	0	0	3
N0.HOG0000202	0	0	0	1	3	0	1	1	1	1	0	0	1
N0.HOG0000209	0	0	0	0	3	1	1	1	1	0	0	0	1
N0.HOG0000220	0	0	0	7	5	5	1	3	3	3	0	0	5
N0.HOG0000221	0	0	0	0	5	0	64	10	6	0	0	0	4
N0.HOG0000222	2	2	0	4	3	1	1	2	2	2	2	2	2
N0.HOG0000224	7	4	0	3	1	1	1	2	2	3	3	4	1
N0.HOG0000226	1	2	1	0	1	0	1	1	1	1	1	1	1
N0.HOG0000228	0	0	0	1	2	2	2	2	2	1	0	0	2
N0.HOG0000231	1	1	0	2	2	3	7	3	3	2	1	1	3
N0.HOG0000232	1	1	0	1	0	0	1	1	1	1	1	1	0
N0.HOG0000233	1	1	1	1	2	1	1	1	1	1	1	1	1
