#FamilyID	Likelihood of Family
N0.HOG0000002	-15.8636
N0.HOG0000003	-22.4966
N0.HOG0000004	-14.8106
N0.HOG0000006	-13.3154
N0.HOG0000008	-50.966
N0.HOG0000009	-30.051
N0.HOG0000011	-11.9713
N0.HOG0000012	-24.5741
N0.HOG0000013	-8.32294
N0.HOG0000014	-47.8603
N0.HOG0000015	-18.4178
N0.HOG0000017	-11.0278
N0.HOG0000018	-13.9806
N0.HOG0000021	-15.3975
N0.HOG0000022	-21.2265
N0.HOG0000024	-21.6899
N0.HOG0000028	-8.83019
N0.HOG0000029	-6.86048
N0.HOG0000030	-52.572
N0.HOG0000031	-9.99148
N0.HOG0000033	-8.83019
N0.HOG0000036	-8.32294
N0.HOG0000037	-32.9201
N0.HOG0000038	-39.135
N0.HOG0000039	-31.7871
N0.HOG0000040	-24.291
N0.HOG0000042	-11.9713
N0.HOG0000053	-32.1228
N0.HOG0000055	-17.2077
N0.HOG0000057	-18.7029
N0.HOG0000059	-11.1623
N0.HOG0000060	-17.2077
N0.HOG0000063	-22.6119
N0.HOG0000064	-12.7033
N0.HOG0000065	-11.7925
N0.HOG0000066	-18.4662
N0.HOG0000068	-28.7259
N0.HOG0000069	-8.32294
N0.HOG0000070	-13.8939
N0.HOG0000071	-20.1549
N0.HOG0000072	-22.3461
N0.HOG0000074	-16.324
N0.HOG0000075	-6.86048
N0.HOG0000076	-10.0016
N0.HOG0000077	-20.0224
N0.HOG0000078	-11.9713
N0.HOG0000079	-22.5789
N0.HOG0000082	-30.4298
N0.HOG0000085	-18.7029
N0.HOG0000088	-17.2077
N0.HOG0000095	-13.3154
N0.HOG0000097	-17.1014
N0.HOG0000098	-29.4726
N0.HOG0000099	-12.841
N0.HOG0000100	-18.8911
N0.HOG0000101	-13.5511
N0.HOG0000102	-8.83019
N0.HOG0000103	-11.4679
N0.HOG0000104	-10.0016
N0.HOG0000105	-27.7613
N0.HOG0000106	-19.3302
N0.HOG0000107	-13.5511
N0.HOG0000110	-8.83019
N0.HOG0000111	-11.9713
N0.HOG0000114	-17.2077
N0.HOG0000115	-14.8106
N0.HOG0000118	-18.7029
N0.HOG0000120	-18.7029
N0.HOG0000122	-18.7029
N0.HOG0000128	-17.2077
N0.HOG0000134	-17.2077
N0.HOG0000135	-19.3656
N0.HOG0000145	-11.1623
N0.HOG0000147	-22.7889
N0.HOG0000150	-19.711
N0.HOG0000152	-67.9981
N0.HOG0000154	-25.4009
N0.HOG0000156	-11.1623
N0.HOG0000159	-13.3154
N0.HOG0000162	-11.1623
N0.HOG0000165	-14.8106
N0.HOG0000166	-14.8106
N0.HOG0000167	-17.2077
N0.HOG0000172	-17.2077
N0.HOG0000173	-17.2077
N0.HOG0000174	-13.3154
N0.HOG0000176	-10.7396
N0.HOG0000180	-6.86048
N0.HOG0000181	-13.8939
