Desc	HOG	carinata	galeata	magna	pulex.euro	pulex.nam	pulicaria	sinensis
n/a	N0.HOG0000001	0	0	1	0	2	3	0
n/a	N0.HOG0000002	1	0	1	0	1	0	1
n/a	N0.HOG0000003	7	0	2	0	0	0	0
n/a	N0.HOG0000004	1	0	1	0	1	1	0
n/a	N0.HOG0000005	0	0	0	0	1	1	0
n/a	N0.HOG0000006	1	0	0	0	1	1	0
n/a	N0.HOG0000007	0	0	0	0	1	1	0
n/a	N0.HOG0000008	2	0	2	0	8	12	1
n/a	N0.HOG0000009	4	0	11	0	0	0	4
n/a	N0.HOG0000011	1	0	1	0	1	1	1
n/a	N0.HOG0000012	1	0	0	0	4	4	0
n/a	N0.HOG0000013	1	0	1	0	0	0	1
n/a	N0.HOG0000014	11	0	12	0	0	0	1
n/a	N0.HOG0000015	2	0	1	0	1	1	3
n/a	N0.HOG0000017	1	0	2	0	0	0	1
n/a	N0.HOG0000018	1	0	2	0	0	0	0
n/a	N0.HOG0000019	0	0	6	0	0	0	1
n/a	N0.HOG0000020	0	0	0	0	1	1	0
n/a	N0.HOG0000021	1	1	0	2	2	3	1
n/a	N0.HOG0000022	1	0	1	5	2	3	1
n/a	N0.HOG0000023	0	1	0	2	1	1	1
n/a	N0.HOG0000024	2	2	4	2	0	1	1
n/a	N0.HOG0000025	0	0	1	12	6	13	1
n/a	N0.HOG0000026	0	1	1	1	1	1	0
n/a	N0.HOG0000028	1	0	1	1	1	1	1
n/a	N0.HOG0000029	1	1	1	1	1	1	1
n/a	N0.HOG0000030	1	2	0	5	15	18	0
n/a	N0.HOG0000031	1	1	1	2	1	1	1
n/a	N0.HOG0000032	0	0	1	0	1	0	1
n/a	N0.HOG0000033	1	0	1	1	1	1	1
n/a	N0.HOG0000036	1	0	1	0	0	0	1
n/a	N0.HOG0000037	4	0	3	0	0	4	3
n/a	N0.HOG0000038	1	0	9	0	2	0	2
n/a	N0.HOG0000039	3	3	0	10	9	12	0
n/a	N0.HOG0000040	10	1	5	0	0	0	3
n/a	N0.HOG0000042	1	0	1	0	1	1	1
n/a	N0.HOG0000044	0	0	5	0	0	1	3
n/a	N0.HOG0000045	0	0	0	0	1	0	1
n/a	N0.HOG0000046	0	0	1	0	4	7	1
