TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0006997	"nucleus organization"	-4.525139322360912	4.105714510570921	0.042425435011218544	0.9126664479830665	0.00612592	null
GO:0007286	"spermatid development"	-4.525139322360912	3.9203842421783577	0.027687128266043366	0.07148803058536085	0	null
GO:0007276	"gamete generation"	7276	-3.2254560861683834	4.699672992130208	0.16657513017340844	0.12236151791406372	0.93918372	7286
GO:0007281	"germ cell development"	7281	-3.981290077828982	4.351371077498065	0.0746960403016021	0.05823430712796861	0.88590108	7286
GO:0007283	"spermatogenesis"	7283	-3.445550810257934	4.467504513625896	0.09759679451973144	0.060206024557815485	0.944312	7286
GO:0007289	"spermatid nucleus differentiation"	7289	-4.525139322360912	3.0751818546186915	0.003951502688618395	0.10570040278034497	0.88589852	7286
GO:0022412	"cellular process involved in reproduction in multicellular organism"	22412	-3.517643747153972	4.527346292603316	0.11201578791633139	0.13695751320317215	0.82672423	7286
GO:0035092	"sperm DNA condensation"	35092	-4.525139322360912	2.8686444383948255	0.002454721367172033	0.1173248105960182	0.86347262	7286
GO:0048232	"male gamete generation"	48232	-3.445550810257934	4.526106557290373	0.11169647456775617	0.1312463632456793	0.95396941	7286
GO:0048515	"spermatid differentiation"	48515	-4.525139322360912	3.9507541815935037	0.029692815236781495	0.07803761222351702	0.84900387	7286
GO:0048609	"multicellular organismal reproductive process"	48609	-3.2254560861683834	4.739770065592548	0.18268714955359994	0.12350704752250703	0.97534851	7286
GO:0032504	"multicellular organism reproduction"	-2.9952441081050982	4.782286253217027	0.20147674440882327	0.1957973842600238	0.68776363	null
GO:0003006	"developmental process involved in reproduction"	3006	-2.9006671970778095	4.949014106090243	0.2957706414792297	0.08917466790423409	0.86366803	32504
GO:0019953	"sexual reproduction"	19953	-2.9006671970778095	5.027263963799064	0.35416507009992376	0.1768296469387672	0.83568832	32504
GO:0044703	"multi-organism reproductive process"	-2.9006671970778095	3.5835388192543522	0.012745924497294354	0.2764782883608003	0.58545367	null
GO:0048468	"cell development"	-2.4999025130036787	5.209115387044989	0.5383423486135414	0.39955547866729646	0.68618421	null
GO:0030154	"cell differentiation"	30154	-2.0754719191758078	5.459627666914989	0.9584556037363918	0.3846742369323551	0.9173529	48468
GO:0048869	"cellular developmental process"	48869	-2.0754719191758078	5.491065992751414	1.03041087112939	0.4432380317522552	0.75146653	48468
