Gene	Annotation
N0.HOG0000000	uncharacterized protein LOC130692407
N0.HOG0000001	endocuticle structural glycoprotein SgAbd-3-like
N0.HOG0000002	endocuticle structural glycoprotein SgAbd-2-like
N0.HOG0000003	endocuticle structural glycoprotein SgAbd-1-like
N0.HOG0000004	endocuticle structural glycoprotein SgAbd-1-like
N0.HOG0000005	endocuticle structural glycoprotein SgAbd-2-like
N0.HOG0000006	cuticle protein CP14.6-like
N0.HOG0000007	endocuticle structural glycoprotein SgAbd-8-like
N0.HOG0000008	endocuticle structural glycoprotein SgAbd-8-like
N0.HOG0000009	endocuticle structural glycoprotein SgAbd-1-like
N0.HOG0000010	endocuticle structural glycoprotein SgAbd-1-like
N0.HOG0000011	cuticle protein CP14.6-like
N0.HOG0000012	larval cuticle protein 65Ab1-like
N0.HOG0000013	cuticle protein CP14.6-like
N0.HOG0000014	endocuticle structural glycoprotein SgAbd-1-like
N0.HOG0000015	larval cuticle protein 65Ag1-like
N0.HOG0000016	hypothetical protein GHT06_016356
N0.HOG0000017	endocuticle structural glycoprotein ABD-4
N0.HOG0000018	cuticle protein CP14.6-like
N0.HOG0000019	endocuticle structural glycoprotein SgAbd-4-like
N0.HOG0000020	endocuticle structural glycoprotein SgAbd-1-like
N0.HOG0000021	LOW QUALITY PROTEIN: uncharacterized protein LOC130698160
N0.HOG0000022	C1q domain-containing protein
N0.HOG0000023	Fibrillar collagen NC1 domain-containing protein
N0.HOG0000024	unnamed protein product
N0.HOG0000025	C1q domain-containing protein
N0.HOG0000026	unnamed protein product
N0.HOG0000027	Fibrillar collagen NC1 domain-containing protein
N0.HOG0000028	uncharacterized protein LOC130690398
N0.HOG0000029	uncharacterized protein LOC130690394
N0.HOG0000030	C1q domain-containing protein
N0.HOG0000031	endocuticle structural glycoprotein SgAbd-3-like
N0.HOG0000032	larval cuticle protein LCP-22
N0.HOG0000033	endocuticle structural glycoprotein SgAbd-3-like
N0.HOG0000034	endocuticle structural glycoprotein SgAbd-3-like
N0.HOG0000035	endocuticle structural glycoprotein SgAbd-3
N0.HOG0000036	endocuticle structural glycoprotein SgAbd-3-like
N0.HOG0000037	endocuticle structural glycoprotein SgAbd-3-like
N0.HOG0000038	larval cuticle protein LCP-22
N0.HOG0000039	larval cuticle protein LCP-22-like
N0.HOG0000040	endocuticle structural glycoprotein SgAbd-3-like
N0.HOG0000041	histone H2A-beta, sperm-like
N0.HOG0000042	histone H2A-like
N0.HOG0000043	hypothetical protein GHT06_014932
N0.HOG0000044	histone H2A
N0.HOG0000045	histone H2A
N0.HOG0000046	histone H2A
N0.HOG0000047	histone H2A
N0.HOG0000048	histone H2A
N0.HOG0000049	histone H2A-like
N0.HOG0000050	histone H2A
N0.HOG0000051	histone H2A-like
N0.HOG0000052	histone H2A
N0.HOG0000053	histone H2A
N0.HOG0000054	histone H2A
N0.HOG0000055	histone H2A
N0.HOG0000056	histone H2A
N0.HOG0000057	histone H2A
N0.HOG0000058	histone H2A
N0.HOG0000059	histone H2A
N0.HOG0000060	histone H2A
N0.HOG0000061	histone H2A
N0.HOG0000062	histone H2A
N0.HOG0000063	histone H2A-like
N0.HOG0000064	histone H2A.V
N0.HOG0000065	unnamed protein product
N0.HOG0000066	unnamed protein product
N0.HOG0000067	unnamed protein product
N0.HOG0000068	uncharacterized protein LOC124205594
N0.HOG0000069	uncharacterized protein LOC130689821
N0.HOG0000070	uncharacterized protein LOC130702583
N0.HOG0000071	uncharacterized protein LOC130689822
N0.HOG0000072	uncharacterized protein LOC130689824
N0.HOG0000073	uncharacterized protein LOC116920536
N0.HOG0000074	unnamed protein product
N0.HOG0000075	uncharacterized protein LOC130689659
N0.HOG0000076	uncharacterized protein LOC130689508
N0.HOG0000077	unnamed protein product
N0.HOG0000078	histone H2B.1/H2B.2
N0.HOG0000079	histone H2B.1/H2B.2-like
N0.HOG0000080	histone H2B.3
N0.HOG0000081	histone H2B.3
N0.HOG0000082	histone H2B.3
N0.HOG0000083	LOW QUALITY PROTEIN: histone H2B.3
N0.HOG0000084	histone H2B.3
N0.HOG0000085	histone H2B.3
N0.HOG0000086	histone H2B.3
N0.HOG0000087	histone H2B.3
N0.HOG0000088	histone H2B.3
N0.HOG0000089	histone H2B.3
N0.HOG0000090	histone H2B.3
N0.HOG0000091	histone H2B.3
N0.HOG0000092	histone H2B.3
N0.HOG0000093	histone H2B.3
N0.HOG0000094	histone H2B.3
N0.HOG0000095	histone H2B.3
N0.HOG0000096	histone H2B.3
N0.HOG0000097	histone H2B.3
N0.HOG0000098	histone H2B.3-like
N0.HOG0000099	collagen alpha-1(III) chain-like
N0.HOG0000100	collagen alpha-1(III) chain
N0.HOG0000101	collagen alpha-1(X) chain-like
N0.HOG0000102	collagen alpha-1(I) chain-like
N0.HOG0000103	collagen alpha-1(I) chain-like
N0.HOG0000104	collagen alpha-1(X) chain-like
N0.HOG0000105	collagen alpha-1(I) chain-like
N0.HOG0000106	collagen alpha-1(I) chain-like
N0.HOG0000107	collagen alpha-2(I) chain-like isoform X3
N0.HOG0000108	collagen alpha-1(VIII) chain-like
N0.HOG0000109	collagen alpha-1(X) chain-like
N0.HOG0000110	collagen alpha-1(III) chain-like
N0.HOG0000111	histone H3.3A
N0.HOG0000112	histone H3.3 type 2
N0.HOG0000113	histone H3
N0.HOG0000114	histone H3
N0.HOG0000115	histone H3
N0.HOG0000116	histone H3
N0.HOG0000117	histone H3
N0.HOG0000118	histone H3
N0.HOG0000119	histone H3
N0.HOG0000120	histone H3
N0.HOG0000121	histone H3
N0.HOG0000122	histone H3-like
N0.HOG0000123	histone H3
N0.HOG0000124	histone H3
N0.HOG0000125	histone H3
N0.HOG0000126	histone H3
N0.HOG0000127	histone H3
N0.HOG0000128	histone H3
N0.HOG0000129	histone H3
N0.HOG0000130	histone H3
N0.HOG0000131	histone H3
N0.HOG0000132	histone H3
N0.HOG0000133	histone H3
N0.HOG0000134	histone H3
N0.HOG0000135	histone H3
N0.HOG0000136	histone H3
N0.HOG0000137	histone H3
N0.HOG0000138	uncharacterized protein LOC130697740
N0.HOG0000139	uncharacterized protein LOC130700052
N0.HOG0000140	uncharacterized protein LOC116931615
N0.HOG0000141	uncharacterized protein LOC123475374
N0.HOG0000142	uncharacterized protein LOC123467204
N0.HOG0000143	uncharacterized protein LOC116935697
N0.HOG0000144	uncharacterized protein LOC123468194
N0.HOG0000145	uncharacterized protein LOC130698707
N0.HOG0000146	uncharacterized protein LOC130687793
N0.HOG0000147	unnamed protein product
N0.HOG0000148	uncharacterized protein LOC123473813
N0.HOG0000149	uncharacterized protein LOC123467013
N0.HOG0000150	uncharacterized protein LOC130704115
N0.HOG0000151	uncharacterized protein LOC123469332
N0.HOG0000152	uncharacterized protein LOC130703047
N0.HOG0000153	histone H4
