HOG	OG	Gene_Tree	carinata.protein	galeata.protein	magna.protein	pulex.euro.protein	pulex.nam.protein	pulicaria.protein	sinensis.protein
N0.HOG0000000	OG0000000	n0	XP_057381091.1, XP_057373047.1, XP_057373048.1, XP_057373049.1, XP_057367526.1, XP_057367525.1, XP_057371173.1, XP_057381092.1, XP_057376504.1, XP_057371493.1, XP_057371494.1, XP_057371496.1, XP_057371492.1, XP_057371497.1, XP_057371495.1, XP_057371491.1, XP_057371490.1, XP_057371488.1, XP_057371489.1, XP_057376505.1, XP_057368785.1, XP_057369172.1, XP_057369173.1, XP_057369174.1, XP_057377519.1, XP_057377520.1, XP_057376503.1, XP_057368783.1, XP_057374439.1, XP_057374440.1, XP_057375516.1, XP_057375546.1, XP_057375539.1, XP_057375551.1, XP_057375528.1, XP_057375524.1, XP_057373489.1, XP_057374733.1, XP_057374731.1, XP_057374732.1, XP_057374730.1, XP_057372495.1, XP_057372493.1, XP_057372494.1, XP_057365684.1, XP_057365685.1, XP_057370067.1, XP_057368561.1, XP_057370129.1, XP_057367169.1, XP_057366825.1, XP_057366823.1, XP_057366824.1, XP_057365909.1, XP_057365833.1, XP_057370062.1, XP_057381367.1, XP_057379289.1, XP_057374907.1, XP_057369496.1, XP_057374238.1, XP_057369768.1, XP_057369769.1, XP_057369771.1, XP_057369772.1, XP_057369770.1, XP_057381403.1, XP_057378639.1, XP_057368250.1, XP_057367683.1, XP_057381247.1, XP_057381246.1, XP_057381245.1, XP_057374074.1, XP_057374331.1, XP_057368248.1, XP_057380870.1, XP_057366020.1, XP_057364946.1, XP_057375368.1, XP_057367382.1, XP_057371229.1, XP_057381780.1, XP_057370897.1, XP_057370896.1, XP_057370898.1, XP_057370899.1, XP_057381773.1, XP_057373466.1, XP_057370889.1, XP_057367656.1, XP_057381141.1, XP_057369838.1, XP_057369836.1, XP_057371039.1, XP_057370584.1, XP_057371176.1, XP_057372359.1, XP_057372358.1, XP_057372360.1, XP_057372357.1, XP_057369837.1, XP_057370363.1, XP_057366580.1, XP_057366579.1, XP_057376012.1, XP_057376011.1, XP_057369276.1, XP_057369264.1, XP_057369272.1, XP_057376013.1, XP_057364867.1, XP_057374908.1, XP_057372046.1, XP_057376502.1, XP_057364933.1, XP_057364934.1, XP_057375985.1, XP_057375983.1, XP_057375984.1, XP_057376021.1, XP_057376023.1, XP_057376022.1, XP_057376024.1, XP_057381778.1, XP_057367257.1, XP_057367528.1, XP_057367527.1, XP_057375986.1, XP_057366056.1, XP_057366055.1, XP_057366053.1, XP_057370257.1, XP_057366473.1, XP_057366820.1, XP_057366944.1, XP_057375366.1, XP_057370259.1, XP_057379174.1, XP_057366057.1, XP_057381132.1, XP_057364932.1, XP_057374438.1, XP_057364949.1, XP_057380796.1, XP_057380797.1, XP_057380798.1, XP_057376016.1, XP_057376017.1						
N0.HOG0000001	OG0000001	n2			XP_032781969.2		XP_046458596.1, XP_046458674.1	XP_046647254.1, XP_046647268.1, XP_046647253.1	
N0.HOG0000002	OG0000001	n7	XP_057373362.1		XP_032788063.1		XP_046458675.1		KAI9556567.1
N0.HOG0000003	OG0000001	n12	XP_057377988.1, XP_057369638.1, XP_057377987.1, XP_057380288.1, XP_057369635.1, XP_057370056.1, XP_057380345.1		XP_045024949.1, XP_032776519.2				
N0.HOG0000004	OG0000001	n22	XP_057370511.1		XP_032776517.1		XP_046447530.1	XP_046636176.1	
N0.HOG0000005	OG0000001	n26					XP_046443259.1	XP_046632959.1	
N0.HOG0000006	OG0000001	n28	XP_057370526.1				XP_046447527.1	XP_046636142.1	
N0.HOG0000007	OG0000001	n31					XP_046447526.1	XP_046636141.1	
N0.HOG0000008	OG0000001	n33	XP_057379767.1, XP_057379772.1		XP_032781966.2, XP_045028343.1		XP_046450021.1, XP_046448896.1, XP_046447825.1, XP_046447826.1, XP_046447818.1, XP_046448897.1, XP_046448894.1, XP_046450019.1	XP_046642386.1, XP_046642828.1, XP_046642348.1, XP_046642347.1, XP_046642346.1, XP_046642829.1, XP_046642387.1, XP_046642827.1, XP_046642342.1, XP_046642385.1, XP_046642384.1, XP_046642343.1	KAI9558077.1
N0.HOG0000009	OG0000001	n66	XP_057380340.1, XP_057370794.1, XP_057380286.1, XP_057380285.1		XP_045024465.1, XP_045024466.1, XP_045028141.1, XP_045028356.1, XP_045030176.1, XP_045029984.1, XP_045029985.1, XP_045024472.1, XP_045029988.1, XP_045024467.1, XP_045029987.1				KAI9565938.1, KAI9550979.1, KAI9562405.1, KAI9562414.1
N0.HOG0000010	OG0000001	n86	XP_057375782.1, XP_057375207.1, XP_057375776.1						
N0.HOG0000011	OG0000001	n91	XP_057370538.1		XP_032776548.1		XP_046447553.1	XP_046636239.1	KAI9565974.1
N0.HOG0000012	OG0000001	n95	XP_057377991.1				XP_046449052.1, XP_046448802.1, XP_046447828.1, XP_046443261.1	XP_046642847.1, XP_046640463.1, XP_046642816.1, XP_046632977.1	
N0.HOG0000013	OG0000001	n103	XP_057375593.1		XP_045026265.1				KAI9565936.1
N0.HOG0000014	OG0000001	n105	XP_057370502.1, XP_057370497.1, XP_057370498.1, XP_057369637.1, XP_057377980.1, XP_057377981.1, XP_057373117.1, XP_057377930.1, XP_057369806.1, XP_057378949.1, XP_057380974.1		XP_032784224.1, XP_045025287.1, XP_032776499.2, XP_045025964.1, XP_045024836.1, XP_032798490.2, XP_045031856.1, XP_045031909.1, XP_045031910.1, XP_045031865.1, XP_032798410.2, XP_045025502.1				KAI9566016.1
N0.HOG0000015	OG0000001	n128	XP_057370531.1, XP_057370515.1		XP_032776507.2		XP_046447547.1	XP_046636204.1	KAI9565978.1, KAI9565979.1, KAI9565981.1
N0.HOG0000016	OG0000001	n135							KAI9556566.1, KAI9565941.1
N0.HOG0000017	OG0000001	n136	XP_057370514.1		XP_032776514.2, XP_032776497.2				KAI9566017.1
N0.HOG0000018	OG0000001	n139	XP_057373363.1		XP_045029989.1, XP_032798532.2				
N0.HOG0000019	OG0000001	n141			XP_045032172.1, XP_045032195.1, XP_045023399.1, XP_045025504.1, XP_045025285.1, XP_045025050.1				KAI9565937.1
N0.HOG0000020	OG0000001	n147					XP_046447560.1	XP_046636273.1	
N0.HOG0000021	OG0000002	n2	XP_057376922.1	CAH0107715.1		Daphnia02555-RA, Daphnia05119-RA	XP_046452074.1, XP_046448520.1	XP_046651748.1, XP_046639129.1, XP_046640789.1	KAI9563617.1
N0.HOG0000022	OG0000002	n11	XP_057368213.1		XP_032790323.2	Daphnia05178-RA, Daphnia05179-RA, Daphnia05400-RA, Daphnia12219-RB, Daphnia05498-RA	XP_046447226.1, XP_046447225.1	XP_046640781.1, XP_046635974.1, XP_046640674.1	KAI9563005.1
N0.HOG0000023	OG0000002	n28		CAH0109014.1		Daphnia13823-RA, Daphnia00393-RA	XP_046456609.1	XP_046645805.1	KAI9559201.1
N0.HOG0000024	OG0000002	n33	XP_057373146.1, XP_057373213.1	CAH0110956.1, CAH0105711.1	XP_045027723.1, XP_045028724.1, XP_032782321.2, XP_045028723.1	Daphnia01061-RA, Daphnia00593-RA		XP_046638641.1	KAI9557808.1
N0.HOG0000025	OG0000002	n44			XP_032780852.2	Daphnia01057-RA, Daphnia01105-RA, Daphnia01110-RA, Daphnia13724-RA, Daphnia09778-RA, Daphnia00916-RA, Daphnia00868-RA, Daphnia02941-RB, Daphnia13775-RA, Daphnia13811-RA, Daphnia00867-RA, Daphnia11327-RA	XP_046457832.1, XP_046457583.1, XP_046460369.1, XP_046462614.1, XP_046457499.1, XP_046457498.1	XP_046646960.1, XP_046646966.1, XP_046646959.1, XP_046646961.1, XP_046648292.1, XP_046647704.1, XP_046646964.1, XP_046633656.1, XP_046633653.1, XP_046647447.1, XP_046641560.1, XP_046648297.1, XP_046649205.1	KAI9561382.1
N0.HOG0000026	OG0000002	n76		CAH0099551.1	XP_045035384.1	Daphnia07201-RA	XP_046454475.1	XP_046656556.1	
N0.HOG0000027	OG0000002	n80				Daphnia05392-RA, Daphnia05390-RC, Daphnia05309-RA			
N0.HOG0000028	OG0000002	n84	XP_057369394.1		XP_032784050.2	Daphnia00756-RA	XP_046458291.1	XP_046637985.1	KAI9559377.1
N0.HOG0000029	OG0000002	n89	XP_057369391.1	CAH0101307.1	XP_045029125.1	Daphnia00789-RB	XP_046458709.1	XP_046637938.1	KAI9559378.1
N0.HOG0000030	OG0000002	n95	XP_057368939.1	CAH0106906.1, CAH0106372.1		Daphnia00148-RA, Daphnia00069-RA, Daphnia00662-RA, Daphnia00536-RA, Daphnia00635-RA	XP_046459494.1, XP_046457409.1, XP_046459310.1, XP_046456499.1, XP_046459009.1, XP_046456446.1, XP_046459259.1, XP_046456495.1, XP_046452975.1, XP_046456552.1, XP_046456612.1, XP_046456611.1, XP_046458942.1, XP_046459440.1, XP_046459398.1	XP_046645858.1, XP_046646354.1, XP_046638031.1, XP_046638032.1, XP_046645834.1, XP_046638027.1, XP_046638028.1, XP_046645807.1, XP_046645819.1, XP_046639768.1, XP_046645828.1, XP_046645827.1, XP_046638015.1, XP_046638026.1, XP_046638025.1, XP_046645838.1, XP_046638014.1, XP_046646441.1	
N0.HOG0000031	OG0000003	n1	XP_057370532.1	CAH0102491.1	XP_032776562.1	Daphnia09312-RA, Daphnia12147-RA	XP_046446894.1	XP_046636251.1	KAI9566003.1
N0.HOG0000032	OG0000003	n9			XP_032778422.1		XP_046446896.1		KAI9566004.1
N0.HOG0000033	OG0000003	n12	XP_057370213.1		XP_032776721.1	Daphnia12473-RA	XP_046446316.1	XP_046635420.1	KAI9565332.1
N0.HOG0000034	OG0000003	n18	XP_057365323.1, XP_057372142.1						
N0.HOG0000035	OG0000003	n20			XP_045031806.1, XP_045031805.1				
N0.HOG0000036	OG0000003	n22	XP_057372860.1		XP_032794967.2				KAI9559830.1
N0.HOG0000037	OG0000003	n26	XP_057370555.1, XP_057370565.1, XP_057370573.1, XP_057370564.1		XP_032776573.1, XP_032776856.2, XP_032776855.1			XP_046635415.1, XP_046635417.1, XP_046637432.1, XP_046637431.1	KAI9565998.1, KAI9565995.1, KAI9565609.1
N0.HOG0000038	OG0000003	n40	XP_057370570.1		XP_032776571.1, XP_032776572.1, XP_045024931.1, XP_032776579.1, XP_045024932.1, XP_032776582.2, XP_032776578.2, XP_045024942.1, XP_045024943.1		XP_046446890.1, XP_046446891.1		KAI9565992.1, KAI9565996.1
N0.HOG0000039	OG0000003	n53	XP_057370572.1, XP_057370569.1, XP_057370571.1	CAH0110042.1, CAH0105799.1, CAH0105800.1		Daphnia09321-RA, Daphnia09308-RA, Daphnia09317-RA, Daphnia12151-RD, Daphnia09322-RB, Daphnia09320-RA, Daphnia09166-RA, Daphnia09170-RA, Daphnia09169-RA, Daphnia09153-RA	XP_046446883.1, XP_046462973.1, XP_046462143.1, XP_046462142.1, XP_046462975.1, XP_046463090.1, XP_046462709.1, XP_046462567.1, XP_046462662.1	XP_046636217.1, XP_046657153.1, XP_046657154.1, XP_046657151.1, XP_046657141.1, XP_046657152.1, XP_046656438.1, XP_046656497.1, XP_046656485.1, XP_046656458.1, XP_046656449.1, XP_046656471.1	
N0.HOG0000040	OG0000003	n89	XP_057370568.1, XP_057370561.1, XP_057370562.1, XP_057370547.1, XP_057370549.1, XP_057370553.1, XP_057369971.1, XP_057370544.1, XP_057370546.1, XP_057370548.1	CAH0102487.1	XP_032776541.2, XP_045024928.1, XP_045024925.1, XP_032776564.1, XP_032776569.2				KAI9565993.1, KAI9559702.1, KAI9565994.1
N0.HOG0000041	OG0000004	n4	XP_057380123.1, XP_057380121.1						
N0.HOG0000042	OG0000004	n6	XP_057366074.1		XP_032794232.2		XP_046463495.1	XP_046655585.1	KAI9560205.1
N0.HOG0000043	OG0000004	n11							KAI9558179.1, KAI9558215.1, KAI9558169.1, KAI9558050.1
N0.HOG0000044	OG0000004	n18			XP_045028453.1, XP_032784188.1, XP_045028331.1, XP_032793115.1, XP_032784012.2			XP_046647298.1	KAI9558180.1, KAI9557984.1, KAI9552638.1
N0.HOG0000045	OG0000004	n29					XP_046458097.1		KAI9558115.1
N0.HOG0000046	OG0000004	n43			XP_032782149.2		XP_046457965.1, XP_046458371.1, XP_046458685.1, XP_046458602.1	XP_046647308.1, XP_046647306.1, XP_046647295.1, XP_046647313.1, XP_046647733.1, XP_046647301.1, XP_046647304.1	KAI9558199.1
N0.HOG0000047	OG0000004	n55						XP_046647302.1	KAI9557988.1
N0.HOG0000048	OG0000004	n56					XP_046459881.1	XP_046647297.1	
N0.HOG0000049	OG0000004	n57			XP_045028845.1			XP_046647296.1	
N0.HOG0000050	OG0000004	n58					XP_046458684.1	XP_046647719.1	
N0.HOG0000051	OG0000004	n59			XP_032782153.1		XP_046458098.1		KAI9558236.1
N0.HOG0000052	OG0000004	n64					XP_046458464.1	XP_046647293.1	
N0.HOG0000053	OG0000004	n69	XP_057380264.1, XP_057379847.1		XP_032784131.1		XP_046458350.1, XP_046458466.1, XP_046458463.1, XP_046458683.1	XP_046647732.1, XP_046647309.1, XP_046647258.1, XP_046647256.1, XP_046647314.1, XP_046647307.1	KAI9557909.1, KAI9552611.1
N0.HOG0000054	OG0000004	n83			XP_045028412.1		XP_046458603.1	XP_046647305.1	KAI9558190.1
N0.HOG0000055	OG0000004	n86	XP_057379849.1				XP_046458467.1		
N0.HOG0000056	OG0000004	n87			XP_032782492.1		XP_046457966.1		KAI9558152.1
N0.HOG0000057	OG0000004	n89	XP_057379848.1		XP_032781878.1		XP_046459880.1		
N0.HOG0000058	OG0000004	n91					XP_046458746.1	XP_046647299.1	
N0.HOG0000059	OG0000004	n92	XP_057380265.1		XP_032783145.1				
N0.HOG0000060	OG0000004	n93	XP_057379712.1				XP_046458706.1		
N0.HOG0000061	OG0000004	n94					XP_046458720.1	XP_046647310.1	
N0.HOG0000062	OG0000004	n95			XP_032782957.1				KAI9558200.1
N0.HOG0000063	OG0000004	n96	XP_057380205.1		XP_032784132.2		XP_046458593.1, XP_046458594.1		
